Begriff;Entsorgungsart
Apfelschalen ;Biotonne
Avocadokern ;Biotonne
Backwaren ;Biotonne
Blumen ;Biotonne
Blumenstrauß ;Biotonne
Eier ;Biotonne
Eiswaffel ;Biotonne
Erdnussschalen ;Biotonne
Fallobst ;Biotonne
Fischgräten ;Biotonne
Früchte ;Biotonne
Gartenabfall ;Biotonne
Grasschnitt ;Biotonne
Haare ;Biotonne
Heckenschnitt ;Biotonne
Holzwolle ;Biotonne
Kaffeesatz ;Biotonne
Kerne ;Biotonne
Knochen ;Biotonne
Kokosnussschalen ;Biotonne
Küchenabfälle (organisch) ;Biotonne
Laub ;Biotonne
Mangoschale ;Biotonne
Muschelschalen ;Biotonne
Obstreste ;Biotonne
Pfirsichkern ;Biotonne
Rasenschnitt ;Biotonne
Sägespäne ;Biotonne
Sandwichtoast ;Biotonne
Speisereste ;Biotonne
Südfrüchte ;Biotonne
Toast ;Biotonne
Tomatenstrunk ;Biotonne
Unkraut ;Biotonne
Wassermelonenschale ;Biotonne
Würzelstöcke ;Biotonne
Zitrusfrüchte ;Biotonne
5 Minuten Terrine-Verpackung ;gelbe Tonne
Abziehfolien - Wundpflaster, Damenbinden ;gelbe Tonne
Alufolien (Verpackung) ;gelbe Tonne
Anpflanztöpfe ;gelbe Tonne
Autan Flasche (leer) ;gelbe Tonne
Backwarenverpackung ;gelbe Tonne
Bierfass (Einweg) ;gelbe Tonne
Blumenerdesack ;gelbe Tonne
Bonbonpapier (Plasik) ;gelbe Tonne
Brotverpackung (Plastik) ;gelbe Tonne
Camembertverpackung (Folie) ;gelbe Tonne
CD Spindel ;gelbe Tonne
Cockpitspraydose (leer) ;gelbe Tonne
Crermetuben ;gelbe Tonne
Deoroller (Plastik) ;gelbe Tonne
Dosenfischverpackung ;gelbe Tonne
Dressingflasche (Plastik) ;gelbe Tonne
Einkaufstüten (Plastik) ;gelbe Tonne
Einwegtrommel ;gelbe Tonne
Erdnussbutterverpackung (Plastik) ;gelbe Tonne
Essigreinigerflasche ;gelbe Tonne
Feinkostsalat Verpackung ;gelbe Tonne
Fertigteigverpackung ;gelbe Tonne
Fischdosen ;gelbe Tonne
Flakon (Parfüm) ;gelbe Tonne
Frischhaltefolie ;gelbe Tonne
Frühstückscerealienverpackung (Folie) ;gelbe Tonne
Gemüsekonserven ;gelbe Tonne
Getränkekanister ;gelbe Tonne
Glasreinigerflasche ;gelbe Tonne
Gummibärchentüte ;gelbe Tonne
Hamburgerverpackung ;gelbe Tonne
Haushaltsflaschen (Plastik) ;gelbe Tonne
Honigflasche ;gelbe Tonne
Ice-Tea Verpackung ;gelbe Tonne
Instandkaffeverpackung (Folie) ;gelbe Tonne
Kabelbinder ;gelbe Tonne
Kaffeekapseln (entleert) ;gelbe Tonne
Kakaopulverdose (beschichtet) ;gelbe Tonne
Kartontube - Wassereis ;gelbe Tonne
Kassenzettel (Papier) ;gelbe Tonne
Katzenstreuverpackung (Folie) ;gelbe Tonne
Keksverpackungen (Plastik) ;gelbe Tonne
Kleiderbügel (als Verkaufsverpackung ;gelbe Tonne
Kokosmilchverpackung (Tetrapack) ;gelbe Tonne
Konservendosen ;gelbe Tonne
Kräuterbutterverpackung (Alufolie) ;gelbe Tonne
Kuchentransportbox (Einweg) ;gelbe Tonne
Labello ;gelbe Tonne
Lufterfrischer (Dose) ;gelbe Tonne
Mascara ;gelbe Tonne
Menüschalen von Fertiggerichten ;gelbe Tonne
Milchschnittenverpackung (Folie) ;gelbe Tonne
Molkeflasche ;gelbe Tonne
Mundspühlung (Porzelanflasche) ;gelbe Tonne
Nudelsosenverpackung (TetraPak) ;gelbe Tonne
Obsttüten (Plastik) ;gelbe Tonne
Pflanzencremeflasche ;gelbe Tonne
Pizzafolie ;gelbe Tonne
Portionsbeutel ;gelbe Tonne
Proseccodose ;gelbe Tonne
Raffaello Verpackung ;gelbe Tonne
Reinigungsmittelflasche ;gelbe Tonne
Saftkarton ;gelbe Tonne
Salatkräuterverpackung (Tüte) ;gelbe Tonne
Sandwichtoastverpackung ;gelbe Tonne
Schaumkussverpackung ;gelbe Tonne
Schlemmerfiletverpackung (Folie) ;gelbe Tonne
Schraubdeckeldosen (Seifenblasen) ;gelbe Tonne
Sektflaschenverschluss ;gelbe Tonne
Senfflasche (Plastik) ;gelbe Tonne
Silberpapier ;gelbe Tonne
Softdrinkverpackung ;gelbe Tonne
Soßenpulvververpackung (Plastik) ;gelbe Tonne
Speiseölflaschen ;gelbe Tonne
Steakverpackung (Folie) ;gelbe Tonne
Styroporchips ;gelbe Tonne
Suppenwürfelfolie ;gelbe Tonne
Süsstoffspender ;gelbe Tonne
Tetrapack ;gelbe Tonne
Tiefkühlkostschachteln (beschichtet) ;gelbe Tonne
Toastverpackung ;gelbe Tonne
Tortenbodenverpackung ;gelbe Tonne
Transportverpackungen ;gelbe Tonne
