Begriff;Entsorgungsart
Altbrot ;Biotonne
Apfelschalen ;Biotonne
Aeste ;Biotonne
Avocadokern ;Biotonne
Avocadoschale ;Biotonne
Backwaren ;Biotonne
Bananenschale ;Biotonne
Blumen ;Biotonne
Blumenerde ;Biotonne
Blumenstrauß ;Biotonne
Brot ;Biotonne
Eier ;Biotonne
Eierschalen ;Biotonne
Eiswaffel ;Biotonne
Erdnuss ;Biotonne
Erdnussschalen ;Biotonne
Essensreste ;Biotonne
Fallobst ;Biotonne
Fischabfälle ;Biotonne
Fischgräten ;Biotonne
Fischkräten ;Biotonne
Früchte ;Biotonne
Fruchtschalen ;Biotonne
Gartenabfall ;Biotonne
Gemüseabfälle ;Biotonne
Grasschnitt ;Biotonne
Gurkenschalen ;Biotonne
Haare ;Biotonne
Haushaltspapier ;Biotonne
Heckenschnitt ;Biotonne
Hefe ;Biotonne
Holzwolle ;Biotonne
Kaffeefilter ;Biotonne
Kaffeesatz ;Biotonne
Kartoffelschalen ;Biotonne
Kerne ;Biotonne
Kirschkern ;Biotonne
Knochen ;Biotonne
Kokosnuss ;Biotonne
Kokosnussschalen ;Biotonne
Kuchen ;Biotonne
Küchenabfälle (organisch) ;Biotonne
Kürbisschalen ;Biotonne
Laub ;Biotonne
Mangokern ;Biotonne
Mangoschale ;Biotonne
Melonenschalen ;Biotonne
Muschelschalen ;Biotonne
Nussschalen ;Biotonne
Obstreste ;Biotonne
Orangenschalen ;Biotonne
Pfirsichkern ;Biotonne
Pflanzenreste ;Biotonne
Rasenschnitt ;Biotonne
Saatenband ;Biotonne
Sägespäne ;Biotonne
Salatabfälle ;Biotonne
Sandwichtoast ;Biotonne
Schnittblumen ;Biotonne
Speisereste ;Biotonne
Strauchschnitt ;Biotonne
Südfrüchte ;Biotonne
Teebeutel, -reste ;Biotonne
Toast ;Biotonne
Toastbrot ;Biotonne
Tomatenstrunk ;Biotonne
Topfpflanzen ;Biotonne
Unkraut ;Biotonne
Wassermelone ;Biotonne
Wassermelonenschale ;Biotonne
Wildkräuter ;Biotonne
Würzelstöcke ;Biotonne
Zimmerpflanzen ;Biotonne
Zitrusfrüchte ;Biotonne
Hobelspähne ;Biotonne,
5 Minuten Terrine-Verpackung ;gelbe Tonne
Abschminktücher (Verpackung) ;gelbe Tonne
Abziehfolien - Wundpflaster, Damenbinden ;gelbe Tonne
After Sun Creme Flasche ;gelbe Tonne
Allzweckreinigerflasche (leer) ;gelbe Tonne
Aludeckel ;gelbe Tonne
Alufolien (Verpackung) ;gelbe Tonne
Aluminiumdosen ;gelbe Tonne
Alutuben ;gelbe Tonne
Ampullen (Arzneimittel) ;gelbe Tonne
Anpflanztöpfe ;gelbe Tonne
